,Handovers,,,,,,,,Conexão
,Disparados,Cancelados pelo RIC,Latência para início do handover (ns),Iniciados,Bem sucedidos,Mal sucedidos,Duração do handover (ns),Média de handovers por UE,Conexões estabelecidas,Conexões Reestabelecidas
Iniciado por eNB,0+-0,0+-0,0+-0,8+-0,8+-0,0+-0,4213124+-0,8+-0,1+-0,0+-0
Iniciado por eNB e confirmado por O-RAN,8+-0,0+-0,10000161+-0,8+-0,8+-0,0+-0,4213124+-0,8+-0,1+-0,0+-0
Iniciado por eNB e confirmado por O-RAN+xApp MaxRsrp,392+-1,388+-1,561026561+-215646691,4+-0,4+-0,0+-0,4213124+-0,2+-0,5+-0,0+-0
Iniciado por O-RAN+xApp MaxRsrp,26+-2,0+-0,161+-0,26+-2,26+-2,0+-0,3720091+-51333,26+-2,27+-2,0+-0
