numerology,speed,block size,mcs,channel,beta,mse
0,0,256,1,CDL_A,0.13472235813349473,0.03630734760379735
0,0,256,1,CDL_D,0.1,0.009658096416869618
0,0,512,1,CDL_A,0.1,0.027988171404791363
0,0,512,1,CDL_D,0.1,0.011543221851637597
0,0,1024,1,CDL_A,0.1,0.03673480327494061
0,0,1024,1,CDL_D,0.1,0.017312782289356503
0,0,2048,1,CDL_A,0.1,0.03390702978640185
0,0,2048,1,CDL_D,0.1,0.016723641574713934
0,0,4096,1,CDL_A,0.1,0.03186214539286164
0,0,4096,1,CDL_D,0.10000000000000002,0.026875183233828277
0,0,8192,1,CDL_A,0.1,0.03986832623912907
0,0,8192,1,CDL_D,0.1,0.028558332542015768
0,0,256,2,CDL_A,0.15720762668360022,0.03651281708987534
0,0,256,2,CDL_D,0.12594052196724403,0.01207401292106975
0,0,512,2,CDL_A,0.1277986693189511,0.029852325673132
0,0,512,2,CDL_D,0.1,0.015895476587618786
0,0,1024,2,CDL_A,0.12254751141004896,0.03705853762886498
0,0,1024,2,CDL_D,0.1,0.020549129274014387
0,0,2048,2,CDL_A,0.16140502616774852,0.03879637467809583
0,0,2048,2,CDL_D,0.1,0.020781186963598774
0,0,4096,2,CDL_A,0.16521589670733672,0.03558021563432043
0,0,4096,2,CDL_D,0.1322850509718187,0.0320497090277331
0,0,8192,2,CDL_A,0.23240759629052773,0.04366178896398578
0,0,8192,2,CDL_D,0.1,0.03079208722576212
0,0,256,3,CDL_A,0.25246935114541796,0.04383442410596727
0,0,256,3,CDL_D,0.1,0.014868237564550335
0,0,512,3,CDL_A,0.22416130356077435,0.03558164330946291
0,0,512,3,CDL_D,0.11770806022850358,0.01658465190758452
0,0,1024,3,CDL_A,0.17235450008401637,0.04090599378038318
0,0,1024,3,CDL_D,0.1,0.021948630144233927
0,0,2048,3,CDL_A,0.18855750750916395,0.039341144090237826
0,0,2048,3,CDL_D,0.1288813082203306,0.023478343137331742
0,0,4096,3,CDL_A,0.27547384508478445,0.03689220211410367
0,0,4096,3,CDL_D,0.21415173763340095,0.03367677195767723
0,0,8192,3,CDL_A,0.35157040003328605,0.045151051808987805
0,0,8192,3,CDL_D,0.18899103043825974,0.03365833882814939
0,0,256,4,CDL_A,0.3596324279611664,0.04519692320071283
0,0,256,4,CDL_D,0.1,0.015770426064627262
0,0,512,4,CDL_A,0.24074872511512244,0.03618404744547223
0,0,512,4,CDL_D,0.10940086482002889,0.016168785992828068
0,0,1024,4,CDL_A,0.2888244365310514,0.0413776909760903
0,0,1024,4,CDL_D,0.11285423339748471,0.023875943918966722
0,0,2048,4,CDL_A,0.26194676360052815,0.04093104670736042
0,0,2048,4,CDL_D,0.20134439622282968,0.025365404462168162
0,0,4096,4,CDL_A,0.40764642136960266,0.03876759168984769
0,0,4096,4,CDL_D,0.2712402727610438,0.036316419277778365
0,0,8192,4,CDL_A,0.4871320621355701,0.04643321038832665
0,0,8192,4,CDL_D,0.2473246977462622,0.03646497394149429
0,0,256,5,CDL_A,0.3920683930471033,0.046418000950092644
0,0,256,5,CDL_D,0.29007904801405066,0.01918074613948529
0,0,512,5,CDL_A,0.34082911735674615,0.03926286069267755
0,0,512,5,CDL_D,0.15727292940566334,0.020172587520472112
0,0,1024,5,CDL_A,0.34765057369215546,0.04603684996550632
0,0,1024,5,CDL_D,0.12018361521990195,0.02407221362959662
0,0,2048,5,CDL_A,0.37824783576703647,0.041853428782742425
0,0,2048,5,CDL_D,0.21544368742493214,0.026152946328632447
0,0,4096,5,CDL_A,0.5051455561286914,0.03976309188771201
0,0,4096,5,CDL_D,0.3282930906327916,0.03746454433276673
0,0,8192,5,CDL_A,0.6312758053838646,0.046274024925130185
0,0,8192,5,CDL_D,0.2985783564627136,0.034836198926362416
0,0,256,6,CDL_A,0.7530831610036367,0.04942963504854292
0,0,256,6,CDL_D,0.15244054314058847,0.01968919994979899
0,0,512,6,CDL_A,0.46617904246070196,0.04163842778949848
0,0,512,6,CDL_D,0.2247316545502628,0.02287720130848995
0,0,1024,6,CDL_A,0.5654371911567766,0.048613975036867534
0,0,1024,6,CDL_D,0.25575719525363766,0.028008445390653846
0,0,2048,6,CDL_A,0.5382629706488312,0.042449447712061675
0,0,2048,6,CDL_D,0.3878720557124692,0.02825922374227925
0,0,4096,6,CDL_A,0.6927780354715835,0.04023655325688557
0,0,4096,6,CDL_D,0.4368195753624759,0.0395718502648716
0,0,8192,6,CDL_A,1.0813766403296665,0.04765248959625045
0,0,8192,6,CDL_D,0.41840160484524025,0.03899331051430385
0,0,256,7,CDL_A,0.9761374760704769,0.05123118250222265
0,0,256,7,CDL_D,0.33541197029572983,0.022532031788425604
0,0,512,7,CDL_A,0.6493418545359975,0.04281064586048568
0,0,512,7,CDL_D,0.30480441923586915,0.02304706221904964
0,0,1024,7,CDL_A,0.7029283559994992,0.04940203629296465
0,0,1024,7,CDL_D,0.25719494622969974,0.027908459246117612
0,0,2048,7,CDL_A,0.7740437789242265,0.0446455277866167
0,0,2048,7,CDL_D,0.4771072200231911,0.029133196229256288
0,0,4096,7,CDL_A,1.0137008320720655,0.04113089101728237
0,0,4096,7,CDL_D,0.5983394025414486,0.04063262066220995
0,0,8192,7,CDL_A,1.288908406451172,0.04864726256136768
0,0,8192,7,CDL_D,0.6143222695408564,0.038303895576653854
0,0,256,8,CDL_A,0.9999490374173992,0.05902216912362231
0,0,256,8,CDL_D,0.9999900103531809,0.01949299271745416
0,0,512,8,CDL_A,1.4206061326457458,0.052938750055921246
0,0,512,8,CDL_D,0.3569301459519455,0.022750988546892715
0,0,1024,8,CDL_A,0.9528793969007191,0.04488485032805292
0,0,1024,8,CDL_D,0.39598737149940616,0.023411460192147737
0,0,2048,8,CDL_A,0.8998681567388276,0.045951327890187854
0,0,2048,8,CDL_D,0.36114476268904594,0.028636162175527523
0,0,4096,8,CDL_A,1.008618214630308,0.043434004200885445
0,0,4096,8,CDL_D,0.6885856045948948,0.029249726032801522
0,0,8192,8,CDL_A,1.3061845943643016,0.041286137678784376
0,0,8192,8,CDL_D,0.7467616794099601,0.04000104933106589
0,0,256,9,CDL_A,0.999963853556926,0.06016597176378642
0,0,256,9,CDL_D,0.9999891713095238,0.023464059012609256
0,0,512,9,CDL_A,1.699703255588745,0.05080879727405572
0,0,512,9,CDL_D,0.633581885713601,0.023438868692294675
0,0,1024,9,CDL_A,1.197436920928484,0.044437436387972776
0,0,1024,9,CDL_D,0.38021854255490206,0.02385098799812497
0,0,2048,9,CDL_A,1.141260840733996,0.046538958296609804
0,0,2048,9,CDL_D,0.4543140129972388,0.02967638726043037
0,0,4096,9,CDL_A,1.3447055363680132,0.04352824492654729
0,0,4096,9,CDL_D,0.8794124851016537,0.029829441066871448
0,0,8192,9,CDL_A,1.6317429202721094,0.041673273947117694
0,0,8192,9,CDL_D,0.992394229897622,0.04013604378213522
0,0,256,10,CDL_A,0.9999283811529898,0.059624601431548976
0,0,256,10,CDL_D,0.9999840370219719,0.023692529539998997
0,0,512,10,CDL_A,1.8379513105951841,0.0511333731142989
0,0,512,10,CDL_D,0.28683275368446054,0.022772762196975042
0,0,1024,10,CDL_A,1.410079792292374,0.044000720374255065
0,0,1024,10,CDL_D,0.616832916427083,0.02557658565342129
0,0,2048,10,CDL_A,1.4864485149700677,0.050087234219224674
0,0,2048,10,CDL_D,0.5852231643370743,0.030891466577984833
0,0,4096,10,CDL_A,1.5801362752705255,0.0440494135197121
0,0,4096,10,CDL_D,0.934880469449274,0.030162026330035376
0,0,8192,10,CDL_A,2.0971111519793877,0.042205362175341876
0,0,8192,10,CDL_D,1.4465638302713706,0.04310305688280252
0,0,256,11,CDL_A,0.9999010663295943,0.06200695202233344
0,0,256,11,CDL_D,0.9999635688951223,0.024629971611212238
0,0,512,11,CDL_A,3.355811371650238,0.05554869477321937
0,0,512,11,CDL_D,0.8565843924994233,0.02527821264990072
0,0,1024,11,CDL_A,2.0298276172766783,0.044436289011929406
0,0,1024,11,CDL_D,1.2687018847297153,0.02711638281005847
0,0,2048,11,CDL_A,2.024459515221177,0.04832937917491225
0,0,2048,11,CDL_D,1.1802501231698677,0.03193115385824239
0,0,4096,11,CDL_A,2.20439271504317,0.045339964896714734
0,0,4096,11,CDL_D,1.9004305480132344,0.03219765526504446
0,0,8192,11,CDL_A,3.142484366814755,0.043007539297299655
0,0,8192,11,CDL_D,2.556927827982511,0.0436706064928296
0,0,256,12,CDL_A,0.999888812026331,0.06270203205339772
0,0,256,12,CDL_D,0.9999719066333992,0.02580081341708699
0,0,512,12,CDL_A,3.9356385291498803,0.05625133122166781
