TBS,MCS,bits/symbol,code rate,num,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132
11,3,2,3/4,B,1080.0,2160,3240,4320,5400,6480,7560,8640,9720,10800,11880,12960,14040,15120,16200,17280,18360,19440,20520,21600,22680,23760,24840,25920,27000,28080,29160,30240,31320,32400,33480,34560,35640,36720,37800,38880,39960,41040,42120,43200,44280,45360,46440,47520,48600,49680,50760,51840,52920,54000,55080,56160,57240,58320,59400,60480,61560,62640,63720,64800,65880,66960,68040,69120,70200,71280,72360,73440,74520,75600,76680,77760,78840,79920,81000,82080,83160,84240,85320,86400,87480,88560,89640,90720,91800,92880,93960,95040,96120,97200,98280,99360,100440,101520,102600,103680,104760,105840,106920,108000,109080,110160,111240,112320,113400,114480,115560,116640,117720,118800,119880,120960,122040,123120,124200,125280,126360,127440,128520,129600,130680,131760,132840,133920,135000,136080,137160,138240,139320,140400,141480,142560
10,3,2,3/4,C,1104.0,2208,3312,4416,5520,6624,7728,8832,9936,11040,12144,13248,14352,15456,16560,17664,18768,19872,20976,22080,23184,24288,25392,26496,27600,28704,29808,30912,32016,33120,34224,35328,36432,37536,38640,39744,40848,41952,43056,44160,45264,46368,47472,48576,49680,50784,51888,52992,54096,55200,56304,57408,58512,59616,60720,61824,62928,64032,65136,66240,67344,68448,69552,70656,71760,72864,73968,75072,76176,77280,78384,79488,80592,81696,82800,83904,85008,86112,87216,88320,89424,90528,91632,92736,93840,94944,96048,97152,98256,99360,100464,101568,102672,103776,104880,105984,107088,108192,109296,110400,111504,112608,113712,114816,115920,117024,118128,119232,120336,121440,122544,123648,124752,125856,126960,128064,129168,130272,131376,132480,133584,134688,135792,136896,138000,139104,140208,141312,142416,143520,144624,145728
12,4,2,5/6,A,1120.0,2240,3360,4480,5600,6720,7840,8960,10080,11200,12320,13440,14560,15680,16800,17920,19040,20160,21280,22400,23520,24640,25760,26880,28000,29120,30240,31360,32480,33600,34720,35840,36960,38080,39200,40320,41440,42560,43680,44800,45920,47040,48160,49280,50400,51520,52640,53760,54880,56000,57120,58240,59360,60480,61600,62720,63840,64960,66080,67200,68320,69440,70560,71680,72800,73920,75040,76160,77280,78400,79520,80640,81760,82880,84000,85120,86240,87360,88480,89600,90720,91840,92960,94080,95200,96320,97440,98560,99680,100800,101920,103040,104160,105280,106400,107520,108640,109760,110880,112000,113120,114240,115360,116480,117600,118720,119840,120960,122080,123200,124320,125440,126560,127680,128800,129920,131040,132160,133280,134400,135520,136640,137760,138880,140000,141120,142240,143360,144480,145600,146720,147840
14,4,2,5/6,B,1200.0,2400,3600,4800,6000,7200,8400,9600,10800,12000,13200,14400,15600,16800,18000,19200,20400,21600,22800,24000,25200,26400,27600,28800,30000,31200,32400,33600,34800,36000,37200,38400,39600,40800,42000,43200,44400,45600,46800,48000,49200,50400,51600,52800,54000,55200,56400,57600,58800,60000,61200,62400,63600,64800,66000,67200,68400,69600,70800,72000,73200,74400,75600,76800,78000,79200,80400,81600,82800,84000,85200,86400,87600,88800,90000,91200,92400,93600,94800,96000,97200,98400,99600,100800,102000,103200,104400,105600,106800,108000,109200,110400,111600,112800,114000,115200,116400,117600,118800,120000,121200,122400,123600,124800,126000,127200,128400,129600,130800,132000,133200,134400,135600,136800,138000,139200,140400,141600,142800,144000,145200,146400,147600,148800,150000,151200,152400,153600,154800,156000,157200,158400
13,4,2,5/6,C,1226.0,2452,3678,4904,6130,7356,8582,9808,11034,12260,13486,14712,15938,17164,18390,19616,20842,22068,23294,24520,25746,26972,28198,29424,30650,31876,33102,34328,35554,36780,38006,39232,40458,41684,42910,44136,45362,46588,47814,49040,50266,51492,52718,53944,55170,56396,57622,58848,60074,61300,62526,63752,64978,66204,67430,68656,69882,71108,72334,73560,74786,76012,77238,78464,79690,80916,82142,83368,84594,85820,87046,88272,89498,90724,91950,93176,94402,95628,96854,98080,99306,100532,101758,102984,104210,105436,106662,107888,109114,110340,111566,112792,114018,115244,116470,117696,118922,120148,121374,122600,123826,125052,126278,127504,128730,129956,131182,132408,133634,134860,136086,137312,138538,139764,140990,142216,143442,144668,145894,147120,148346,149572,150798,152024,153250,154476,155702,156928,158154,159380,160606,161832
15,5,4,1/2,A,1344.0,2688,4032,5376,6720,8064,9408,10752,12096,13440,14784,16128,17472,18816,20160,21504,22848,24192,25536,26880,28224,29568,30912,32256,33600,34944,36288,37632,38976,40320,41664,43008,44352,45696,47040,48384,49728,51072,52416,53760,55104,56448,57792,59136,60480,61824,63168,64512,65856,67200,68544,69888,71232,72576,73920,75264,76608,77952,79296,80640,81984,83328,84672,86016,87360,88704,90048,91392,92736,94080,95424,96768,98112,99456,100800,102144,103488,104832,106176,107520,108864,110208,111552,112896,114240,115584,116928,118272,119616,120960,122304,123648,124992,126336,127680,129024,130368,131712,133056,134400,135744,137088,138432,139776,141120,142464,143808,145152,146496,147840,149184,150528,151872,153216,154560,155904,157248,158592,159936,161280,162624,163968,165312,166656,168000,169344,170688,172032,173376,174720,176064,177408
17,5,4,1/2,B,1440.0,2880,4320,5760,7200,8640,10080,11520,12960,14400,15840,17280,18720,20160,21600,23040,24480,25920,27360,28800,30240,31680,33120,34560,36000,37440,38880,40320,41760,43200,44640,46080,47520,48960,50400,51840,53280,54720,56160,57600,59040,60480,61920,63360,64800,66240,67680,69120,70560,72000,73440,74880,76320,77760,79200,80640,82080,83520,84960,86400,87840,89280,90720,92160,93600,95040,96480,97920,99360,100800,102240,103680,105120,106560,108000,109440,110880,112320,113760,115200,116640,118080,119520,120960,122400,123840,125280,126720,128160,129600,131040,132480,133920,135360,136800,138240,139680,141120,142560,144000,145440,146880,148320,149760,151200,152640,154080,155520,156960,158400,159840,161280,162720,164160,165600,167040,168480,169920,171360,172800,174240,175680,177120,178560,180000,181440,182880,184320,185760,187200,188640,190080
16,5,4,1/2,C,1472.0,2944,4416,5888,7360,8832,10304,11776,13248,14720,16192,17664,19136,20608,22080,23552,25024,26496,27968,29440,30912,32384,33856,35328,36800,38272,39744,41216,42688,44160,45632,47104,48576,50048,51520,52992,54464,55936,57408,58880,60352,61824,63296,64768,66240,67712,69184,70656,72128,73600,75072,76544,78016,79488,80960,82432,83904,85376,86848,88320,89792,91264,92736,94208,95680,97152,98624,100096,101568,103040,104512,105984,107456,108928,110400,111872,113344,114816,116288,117760,119232,120704,122176,123648,125120,126592,128064,129536,131008,132480,133952,135424,136896,138368,139840,141312,142784,144256,145728,147200,148672,150144,151616,153088,154560,156032,157504,158976,160448,161920,163392,164864,166336,167808,169280,170752,172224,173696,175168,176640,178112,179584,181056,182528,184000,185472,186944,188416,189888,191360,192832,194304
18,6,4,2/3,A,1792.0,3584,5376,7168,8960,10752,12544,14336,16128,17920,19712,21504,23296,25088,26880,28672,30464,32256,34048,35840,37632,39424,41216,43008,44800,46592,48384,50176,51968,53760,55552,57344,59136,60928,62720,64512,66304,68096,69888,71680,73472,75264,77056,78848,80640,82432,84224,86016,87808,89600,91392,93184,94976,96768,98560,100352,102144,103936,105728,107520,109312,111104,112896,114688,116480,118272,120064,121856,123648,125440,127232,129024,130816,132608,134400,136192,137984,139776,141568,143360,145152,146944,148736,150528,152320,154112,155904,157696,159488,161280,163072,164864,166656,168448,170240,172032,173824,175616,177408,179200,180992,182784,184576,186368,188160,189952,191744,193536,195328,197120,198912,200704,202496,204288,206080,207872,209664,211456,213248,215040,216832,218624,220416,222208,224000,225792,227584,229376,231168,232960,234752,236544
20,6,4,2/3,B,1920.0,3840,5760,7680,9600,11520,13440,15360,17280,19200,21120,23040,24960,26880,28800,30720,32640,34560,36480,38400,40320,42240,44160,46080,48000,49920,51840,53760,55680,57600,59520,61440,63360,65280,67200,69120,71040,72960,74880,76800,78720,80640,82560,84480,86400,88320,90240,92160,94080,96000,97920,99840,101760,103680,105600,107520,109440,111360,113280,115200,117120,119040,120960,122880,124800,126720,128640,130560,132480,134400,136320,138240,140160,142080,144000,145920,147840,149760,151680,153600,155520,157440,159360,161280,163200,165120,167040,168960,170880,172800,174720,176640,178560,180480,182400,184320,186240,188160,190080,192000,193920,195840,197760,199680,201600,203520,205440,207360,209280,211200,213120,215040,216960,218880,220800,222720,224640,226560,228480,230400,232320,234240,236160,238080,240000,241920,243840,245760,247680,249600,251520,253440
19,6,4,2/3,C,1962.0,3924,5886,7848,9810,11772,13734,15696,17658,19620,21582,23544,25506,27468,29430,31392,33354,35316,37278,39240,41202,43164,45126,47088,49050,51012,52974,54936,56898,58860,60822,62784,64746,66708,68670,70632,72594,74556,76518,78480,80442,82404,84366,86328,88290,90252,92214,94176,96138,98100,100062,102024,103986,105948,107910,109872,111834,113796,115758,117720,119682,121644,123606,125568,127530,129492,131454,133416,135378,137340,139302,141264,143226,145188,147150,149112,151074,153036,154998,156960,158922,160884,162846,164808,166770,168732,170694,172656,174618,176580,178542,180504,182466,184428,186390,188352,190314,192276,194238,196200,198162,200124,202086,204048,206010,207972,209934,211896,213858,215820,217782,219744,221706,223668,225630,227592,229554,231516,233478,235440,237402,239364,241326,243288,245250,247212,249174,251136,253098,255060,257022,258984
21,7,4,3/4,A,2016.0,4032,6048,8064,10080,12096,14112,16128,18144,20160,22176,24192,26208,28224,30240,32256,34272,36288,38304,40320,42336,44352,46368,48384,50400,52416,54432,56448,58464,60480,62496,64512,66528,68544,70560,72576,74592,76608,78624,80640,82656,84672,86688,88704,90720,92736,94752,96768,98784,100800,102816,104832,106848,108864,110880,112896,114912,116928,118944,120960,122976,124992,127008,129024,131040,133056,135072,137088,139104,141120,143136,145152,147168,149184,151200,153216,155232,157248,159264,161280,163296,165312,167328,169344,171360,173376,175392,177408,179424,181440,183456,185472,187488,189504,191520,193536,195552,197568,199584,201600,203616,205632,207648,209664,211680,213696,215712,217728,219744,221760,223776,225792,227808,229824,231840,233856,235872,237888,239904,241920,243936,245952,247968,249984,252000,254016,256032,258048,260064,262080,264096,266112
23,7,4,3/4,B,2160.0,4320,6480,8640,10800,12960,15120,17280,19440,21600,23760,25920,28080,30240,32400,34560,36720,38880,41040,43200,45360,47520,49680,51840,54000,56160,58320,60480,62640,64800,66960,69120,71280,73440,75600,77760,79920,82080,84240,86400,88560,90720,92880,95040,97200,99360,101520,103680,105840,108000,110160,112320,114480,116640,118800,120960,123120,125280,127440,129600,131760,133920,136080,138240,140400,142560,144720,146880,149040,151200,153360,155520,157680,159840,162000,164160,166320,168480,170640,172800,174960,177120,179280,181440,183600,185760,187920,190080,192240,194400,196560,198720,200880,203040,205200,207360,209520,211680,213840,216000,218160,220320,222480,224640,226800,228960,231120,233280,235440,237600,239760,241920,244080,246240,248400,250560,252720,254880,257040,259200,261360,263520,265680,267840,270000,272160,274320,276480,278640,280800,282960,285120
22,7,4,3/4,C,2208.0,4416,6624,8832,11040,13248,15456,17664,19872,22080,24288,26496,28704,30912,33120,35328,37536,39744,41952,44160,46368,48576,50784,52992,55200,57408,59616,61824,64032,66240,68448,70656,72864,75072,77280,79488,81696,83904,86112,88320,90528,92736,94944,97152,99360,101568,103776,105984,108192,110400,112608,114816,117024,119232,121440,123648,125856,128064,130272,132480,134688,136896,139104,141312,143520,145728,147936,150144,152352,154560,156768,158976,161184,163392,165600,167808,170016,172224,174432,176640,178848,181056,183264,185472,187680,189888,192096,194304,196512,198720,200928,203136,205344,207552,209760,211968,214176,216384,218592,220800,223008,225216,227424,229632,231840,234048,236256,238464,240672,242880,245088,247296,249504,251712,253920,256128,258336,260544,262752,264960,267168,269376,271584,273792,276000,278208,280416,282624,284832,287040,289248,291456
24,8,4,5/6,A,2240.0,4480,6720,8960,11200,13440,15680,17920,20160,22400,24640,26880,29120,31360,33600,35840,38080,40320,42560,44800,47040,49280,51520,53760,56000,58240,60480,62720,64960,67200,69440,71680,73920,76160,78400,80640,82880,85120,87360,89600,91840,94080,96320,98560,100800,103040,105280,107520,109760,112000,114240,116480,118720,120960,123200,125440,127680,129920,132160,134400,136640,138880,141120,143360,145600,147840,150080,152320,154560,156800,159040,161280,163520,165760,168000,170240,172480,174720,176960,179200,181440,183680,185920,188160,190400,192640,194880,197120,199360,201600,203840,206080,208320,210560,212800,215040,217280,219520,221760,224000,226240,228480,230720,232960,235200,237440,239680,241920,244160,246400,248640,250880,253120,255360,257600,259840,262080,264320,266560,268800,271040,273280,275520,277760,280000,282240,284480,286720,288960,291200,293440,295680
26,9,4,7/8,B,2352.0,4704,7056,9408,11760,14112,16464,18816,21168,23520,25872,28224,30576,32928,35280,37632,39984,42336,44688,47040,49392,51744,54096,56448,58800,61152,63504,65856,68208,70560,72912,75264,77616,79968,82320,84672,87024,89376,91728,94080,96432,98784,101136,103488,105840,108192,110544,112896,115248,117600,119952,122304,124656,127008,129360,131712,134064,136416,138768,141120,143472,145824,148176,150528,152880,155232,157584,159936,162288,164640,166992,169344,171696,174048,176400,178752,181104,183456,185808,188160,190512,192864,195216,197568,199920,202272,204624,206976,209328,211680,214032,216384,218736,221088,223440,225792,228144,230496,232848,235200,237552,239904,242256,244608,246960,249312,251664,254016,256368,258720,261072,263424,265776,268128,270480,272832,275184,277536,279888,282240,284592,286944,289296,291648,294000,296352,298704,301056,303408,305760,308112,310464
27,8,4,5/6,C,2400.0,4800,7200,9600,12000,14400,16800,19200,21600,24000,26400,28800,31200,33600,36000,38400,40800,43200,45600,48000,50400,52800,55200,57600,60000,62400,64800,67200,69600,72000,74400,76800,79200,81600,84000,86400,88800,91200,93600,96000,98400,100800,103200,105600,108000,110400,112800,115200,117600,120000,122400,124800,127200,129600,132000,134400,136800,139200,141600,144000,146400,148800,151200,153600,156000,158400,160800,163200,165600,168000,170400,172800,175200,177600,180000,182400,184800,187200,189600,192000,194400,196800,199200,201600,204000,206400,208800,211200,213600,216000,218400,220800,223200,225600,228000,230400,232800,235200,237600,240000,242400,244800,247200,249600,252000,254400,256800,259200,261600,264000,266400,268800,271200,273600,276000,278400,280800,283200,285600,288000,290400,292800,295200,297600,300000,302400,304800,307200,309600,312000,314400,316800
25,8,4,5/6,A,2453.0,4906,7359,9812,12265,14718,17171,19624,22077,24530,26983,29436,31889,34342,36795,39248,41701,44154,46607,49060,51513,53966,56419,58872,61325,63778,66231,68684,71137,73590,76043,78496,80949,83402,85855,88308,90761,93214,95667,98120,100573,103026,105479,107932,110385,112838,115291,117744,120197,122650,125103,127556,130009,132462,134915,137368,139821,142274,144727,147180,149633,152086,154539,156992,159445,161898,164351,166804,169257,171710,174163,176616,179069,181522,183975,186428,188881,191334,193787,196240,198693,201146,203599,206052,208505,210958,213411,215864,218317,220770,223223,225676,228129,230582,233035,235488,237941,240394,242847,245300,247753,250206,252659,255112,257565,260018,262471,264924,267377,269830,272283,274736,277189,279642,282095,284548,287001,289454,291907,294360,296813,299266,301719,304172,306625,309078,311531,313984,316437,318890,321343,323796
29,9,4,7/8,B,2520.0,5040,7560,10080,12600,15120,17640,20160,22680,25200,27720,30240,32760,35280,37800,40320,42840,45360,47880,50400,52920,55440,57960,60480,63000,65520,68040,70560,73080,75600,78120,80640,83160,85680,88200,90720,93240,95760,98280,100800,103320,105840,108360,110880,113400,115920,118440,120960,123480,126000,128520,131040,133560,136080,138600,141120,143640,146160,148680,151200,153720,156240,158760,161280,163800,166320,168840,171360,173880,176400,178920,181440,183960,186480,189000,191520,194040,196560,199080,201600,204120,206640,209160,211680,214200,216720,219240,221760,224280,226800,229320,231840,234360,236880,239400,241920,244440,246960,249480,252000,254520,257040,259560,262080,264600,267120,269640,272160,274680,277200,279720,282240,284760,287280,289800,292320,294840,297360,299880,302400,304920,307440,309960,312480,315000,317520,320040,322560,325080,327600,330120,332640
