TBS,MCS,bits/symbol,code rate,num,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132
28,9,4,7/8,C,2576.0,5152,7728,10304,12880,15456,18032,20608,23184,25760,28336,30912,33488,36064,38640,41216,43792,46368,48944,51520,54096,56672,59248,61824,64400,66976,69552,72128,74704,77280,79856,82432,85008,87584,90160,92736,95312,97888,100464,103040,105616,108192,110768,113344,115920,118496,121072,123648,126224,128800,131376,133952,136528,139104,141680,144256,146832,149408,151984,154560,157136,159712,162288,164864,167440,170016,172592,175168,177744,180320,182896,185472,188048,190624,193200,195776,198352,200928,203504,206080,208656,211232,213808,216384,218960,221536,224112,226688,229264,231840,234416,236992,239568,242144,244720,247296,249872,252448,255024,257600,260176,262752,265328,267904,270480,273056,275632,278208,280784,283360,285936,288512,291088,293664,296240,298816,301392,303968,306544,309120,311696,314272,316848,319424,322000,324576,327152,329728,332304,334880,337456,340032
30,10,6,2/3,A,2688.0,5376,8064,10752,13440,16128,18816,21504,24192,26880,29568,32256,34944,37632,40320,43008,45696,48384,51072,53760,56448,59136,61824,64512,67200,69888,72576,75264,77952,80640,83328,86016,88704,91392,94080,96768,99456,102144,104832,107520,110208,112896,115584,118272,120960,123648,126336,129024,131712,134400,137088,139776,142464,145152,147840,150528,153216,155904,158592,161280,163968,166656,169344,172032,174720,177408,180096,182784,185472,188160,190848,193536,196224,198912,201600,204288,206976,209664,212352,215040,217728,220416,223104,225792,228480,231168,233856,236544,239232,241920,244608,247296,249984,252672,255360,258048,260736,263424,266112,268800,271488,274176,276864,279552,282240,284928,287616,290304,292992,295680,298368,301056,303744,306432,309120,311808,314496,317184,319872,322560,325248,327936,330624,333312,336000,338688,341376,344064,346752,349440,352128,354816
32,10,6,2/3,B,2880.0,5760,8640,11520,14400,17280,20160,23040,25920,28800,31680,34560,37440,40320,43200,46080,48960,51840,54720,57600,60480,63360,66240,69120,72000,74880,77760,80640,83520,86400,89280,92160,95040,97920,100800,103680,106560,109440,112320,115200,118080,120960,123840,126720,129600,132480,135360,138240,141120,144000,146880,149760,152640,155520,158400,161280,164160,167040,169920,172800,175680,178560,181440,184320,187200,190080,192960,195840,198720,201600,204480,207360,210240,213120,216000,218880,221760,224640,227520,230400,233280,236160,239040,241920,244800,247680,250560,253440,256320,259200,262080,264960,267840,270720,273600,276480,279360,282240,285120,288000,290880,293760,296640,299520,302400,305280,308160,311040,313920,316800,319680,322560,325440,328320,331200,334080,336960,339840,342720,345600,348480,351360,354240,357120,360000,362880,365760,368640,371520,374400,377280,380160
31,10,6,2/3,C,2944.0,5888,8832,11776,14720,17664,20608,23552,26496,29440,32384,35328,38272,41216,44160,47104,50048,52992,55936,58880,61824,64768,67712,70656,73600,76544,79488,82432,85376,88320,91264,94208,97152,100096,103040,105984,108928,111872,114816,117760,120704,123648,126592,129536,132480,135424,138368,141312,144256,147200,150144,153088,156032,158976,161920,164864,167808,170752,173696,176640,179584,182528,185472,188416,191360,194304,197248,200192,203136,206080,209024,211968,214912,217856,220800,223744,226688,229632,232576,235520,238464,241408,244352,247296,250240,253184,256128,259072,262016,264960,267904,270848,273792,276736,279680,282624,285568,288512,291456,294400,297344,300288,303232,306176,309120,312064,315008,317952,320896,323840,326784,329728,332672,335616,338560,341504,344448,347392,350336,353280,356224,359168,362112,365056,368000,370944,373888,376832,379776,382720,385664,388608
33,11,6,3/4,A,3024.0,6048,9072,12096,15120,18144,21168,24192,27216,30240,33264,36288,39312,42336,45360,48384,51408,54432,57456,60480,63504,66528,69552,72576,75600,78624,81648,84672,87696,90720,93744,96768,99792,102816,105840,108864,111888,114912,117936,120960,123984,127008,130032,133056,136080,139104,142128,145152,148176,151200,154224,157248,160272,163296,166320,169344,172368,175392,178416,181440,184464,187488,190512,193536,196560,199584,202608,205632,208656,211680,214704,217728,220752,223776,226800,229824,232848,235872,238896,241920,244944,247968,250992,254016,257040,260064,263088,266112,269136,272160,275184,278208,281232,284256,287280,290304,293328,296352,299376,302400,305424,308448,311472,314496,317520,320544,323568,326592,329616,332640,335664,338688,341712,344736,347760,350784,353808,356832,359856,362880,365904,368928,371952,374976,378000,381024,384048,387072,390096,393120,396144,399168
35,11,6,3/4,B,3240.0,6480,9720,12960,16200,19440,22680,25920,29160,32400,35640,38880,42120,45360,48600,51840,55080,58320,61560,64800,68040,71280,74520,77760,81000,84240,87480,90720,93960,97200,100440,103680,106920,110160,113400,116640,119880,123120,126360,129600,132840,136080,139320,142560,145800,149040,152280,155520,158760,162000,165240,168480,171720,174960,178200,181440,184680,187920,191160,194400,197640,200880,204120,207360,210600,213840,217080,220320,223560,226800,230040,233280,236520,239760,243000,246240,249480,252720,255960,259200,262440,265680,268920,272160,275400,278640,281880,285120,288360,291600,294840,298080,301320,304560,307800,311040,314280,317520,320760,324000,327240,330480,333720,336960,340200,343440,346680,349920,353160,356400,359640,362880,366120,369360,372600,375840,379080,382320,385560,388800,392040,395280,398520,401760,405000,408240,411480,414720,417960,421200,424440,427680
34,11,6,3/4,C,3312.0,6624,9936,13248,16560,19872,23184,26496,29808,33120,36432,39744,43056,46368,49680,52992,56304,59616,62928,66240,69552,72864,76176,79488,82800,86112,89424,92736,96048,99360,102672,105984,109296,112608,115920,119232,122544,125856,129168,132480,135792,139104,142416,145728,149040,152352,155664,158976,162288,165600,168912,172224,175536,178848,182160,185472,188784,192096,195408,198720,202032,205344,208656,211968,215280,218592,221904,225216,228528,231840,235152,238464,241776,245088,248400,251712,255024,258336,261648,264960,268272,271584,274896,278208,281520,284832,288144,291456,294768,298080,301392,304704,308016,311328,314640,317952,321264,324576,327888,331200,334512,337824,341136,344448,347760,351072,354384,357696,361008,364320,367632,370944,374256,377568,380880,384192,387504,390816,394128,397440,400752,404064,407376,410688,414000,417312,420624,423936,427248,430560,433872,437184
36,12,6,5/6,A,3360.0,6720,10080,13440,16800,20160,23520,26880,30240,33600,36960,40320,43680,47040,50400,53760,57120,60480,63840,67200,70560,73920,77280,80640,84000,87360,90720,94080,97440,100800,104160,107520,110880,114240,117600,120960,124320,127680,131040,134400,137760,141120,144480,147840,151200,154560,157920,161280,164640,168000,171360,174720,178080,181440,184800,188160,191520,194880,198240,201600,204960,208320,211680,215040,218400,221760,225120,228480,231840,235200,238560,241920,245280,248640,252000,255360,258720,262080,265440,268800,272160,275520,278880,282240,285600,288960,292320,295680,299040,302400,305760,309120,312480,315840,319200,322560,325920,329280,332640,336000,339360,342720,346080,349440,352800,356160,359520,362880,366240,369600,372960,376320,379680,383040,386400,389760,393120,396480,399840,403200,406560,409920,413280,416640,420000,423360,426720,430080,433440,436800,440160,443520
38,13,8,2/3,B,3584.0,7168,10752,14336,17920,21504,25088,28672,32256,35840,39424,43008,46592,50176,53760,57344,60928,64512,68096,71680,75264,78848,82432,86016,89600,93184,96768,100352,103936,107520,111104,114688,118272,121856,125440,129024,132608,136192,139776,143360,146944,150528,154112,157696,161280,164864,168448,172032,175616,179200,182784,186368,189952,193536,197120,200704,204288,207872,211456,215040,218624,222208,225792,229376,232960,236544,240128,243712,247296,250880,254464,258048,261632,265216,268800,272384,275968,279552,283136,286720,290304,293888,297472,301056,304640,308224,311808,315392,318976,322560,326144,329728,333312,336896,340480,344064,347648,351232,354816,358400,361984,365568,369152,372736,376320,379904,383488,387072,390656,394240,397824,401408,404992,408576,412160,415744,419328,422912,426496,430080,433664,437248,440832,444416,448000,451584,455168,458752,462336,465920,469504,473088
39,12,6,5/6,C,3600.0,7200,10800,14400,18000,21600,25200,28800,32400,36000,39600,43200,46800,50400,54000,57600,61200,64800,68400,72000,75600,79200,82800,86400,90000,93600,97200,100800,104400,108000,111600,115200,118800,122400,126000,129600,133200,136800,140400,144000,147600,151200,154800,158400,162000,165600,169200,172800,176400,180000,183600,187200,190800,194400,198000,201600,205200,208800,212400,216000,219600,223200,226800,230400,234000,237600,241200,244800,248400,252000,255600,259200,262800,266400,270000,273600,277200,280800,284400,288000,291600,295200,298800,302400,306000,309600,313200,316800,320400,324000,327600,331200,334800,338400,342000,345600,349200,352800,356400,360000,363600,367200,370800,374400,378000,381600,385200,388800,392400,396000,399600,403200,406800,410400,414000,417600,421200,424800,428400,432000,435600,439200,442800,446400,450000,453600,457200,460800,464400,468000,471600,475200
37,12,6,5/6,A,3680.0,7360,11040,14720,18400,22080,25760,29440,33120,36800,40480,44160,47840,51520,55200,58880,62560,66240,69920,73600,77280,80960,84640,88320,92000,95680,99360,103040,106720,110400,114080,117760,121440,125120,128800,132480,136160,139840,143520,147200,150880,154560,158240,161920,165600,169280,172960,176640,180320,184000,187680,191360,195040,198720,202400,206080,209760,213440,217120,220800,224480,228160,231840,235520,239200,242880,246560,250240,253920,257600,261280,264960,268640,272320,276000,279680,283360,287040,290720,294400,298080,301760,305440,309120,312800,316480,320160,323840,327520,331200,334880,338560,342240,345920,349600,353280,356960,360640,364320,368000,371680,375360,379040,382720,386400,390080,393760,397440,401120,404800,408480,412160,415840,419520,423200,426880,430560,434240,437920,441600,445280,448960,452640,456320,460000,463680,467360,471040,474720,478400,482080,485760
41,13,8,2/3,B,3840.0,7680,11520,15360,19200,23040,26880,30720,34560,38400,42240,46080,49920,53760,57600,61440,65280,69120,72960,76800,80640,84480,88320,92160,96000,99840,103680,107520,111360,115200,119040,122880,126720,130560,134400,138240,142080,145920,149760,153600,157440,161280,165120,168960,172800,176640,180480,184320,188160,192000,195840,199680,203520,207360,211200,215040,218880,222720,226560,230400,234240,238080,241920,245760,249600,253440,257280,261120,264960,268800,272640,276480,280320,284160,288000,291840,295680,299520,303360,307200,311040,314880,318720,322560,326400,330240,334080,337920,341760,345600,349440,353280,357120,360960,364800,368640,372480,376320,380160,384000,387840,391680,395520,399360,403200,407040,410880,414720,418560,422400,426240,430080,433920,437760,441600,445440,449280,453120,456960,460800,464640,468480,472320,476160,480000,483840,487680,491520,495360,499200,503040,506880
40,13,8,2/3,C,3925.0,7850,11775,15700,19625,23550,27475,31400,35325,39250,43175,47100,51025,54950,58875,62800,66725,70650,74575,78500,82425,86350,90275,94200,98125,102050,105975,109900,113825,117750,121675,125600,129525,133450,137375,141300,145225,149150,153075,157000,160925,164850,168775,172700,176625,180550,184475,188400,192325,196250,200175,204100,208025,211950,215875,219800,223725,227650,231575,235500,239425,243350,247275,251200,255125,259050,262975,266900,270825,274750,278675,282600,286525,290450,294375,298300,302225,306150,310075,314000,317925,321850,325775,329700,333625,337550,341475,345400,349325,353250,357175,361100,365025,368950,372875,376800,380725,384650,388575,392500,396425,400350,404275,408200,412125,416050,419975,423900,427825,431750,435675,439600,443525,447450,451375,455300,459225,463150,467075,471000,474925,478850,482775,486700,490625,494550,498475,502400,506325,510250,514175,518100
42,14,8,3/4,A,4032.0,8064,12096,16128,20160,24192,28224,32256,36288,40320,44352,48384,52416,56448,60480,64512,68544,72576,76608,80640,84672,88704,92736,96768,100800,104832,108864,112896,116928,120960,124992,129024,133056,137088,141120,145152,149184,153216,157248,161280,165312,169344,173376,177408,181440,185472,189504,193536,197568,201600,205632,209664,213696,217728,221760,225792,229824,233856,237888,241920,245952,249984,254016,258048,262080,266112,270144,274176,278208,282240,286272,290304,294336,298368,302400,306432,310464,314496,318528,322560,326592,330624,334656,338688,342720,346752,350784,354816,358848,362880,366912,370944,374976,379008,383040,387072,391104,395136,399168,403200,407232,411264,415296,419328,423360,427392,431424,435456,439488,443520,447552,451584,455616,459648,463680,467712,471744,475776,479808,483840,487872,491904,495936,499968,504000,508032,512064,516096,520128,524160,528192,532224
44,14,8,3/4,B,4320.0,8640,12960,17280,21600,25920,30240,34560,38880,43200,47520,51840,56160,60480,64800,69120,73440,77760,82080,86400,90720,95040,99360,103680,108000,112320,116640,120960,125280,129600,133920,138240,142560,146880,151200,155520,159840,164160,168480,172800,177120,181440,185760,190080,194400,198720,203040,207360,211680,216000,220320,224640,228960,233280,237600,241920,246240,250560,254880,259200,263520,267840,272160,276480,280800,285120,289440,293760,298080,302400,306720,311040,315360,319680,324000,328320,332640,336960,341280,345600,349920,354240,358560,362880,367200,371520,375840,380160,384480,388800,393120,397440,401760,406080,410400,414720,419040,423360,427680,432000,436320,440640,444960,449280,453600,457920,462240,466560,470880,475200,479520,483840,488160,492480,496800,501120,505440,509760,514080,518400,522720,527040,531360,535680,540000,544320,548640,552960,557280,561600,565920,570240
43,14,8,3/4,C,4416.0,8832,13248,17664,22080,26496,30912,35328,39744,44160,48576,52992,57408,61824,66240,70656,75072,79488,83904,88320,92736,97152,101568,105984,110400,114816,119232,123648,128064,132480,136896,141312,145728,150144,154560,158976,163392,167808,172224,176640,181056,185472,189888,194304,198720,203136,207552,211968,216384,220800,225216,229632,234048,238464,242880,247296,251712,256128,260544,264960,269376,273792,278208,282624,287040,291456,295872,300288,304704,309120,313536,317952,322368,326784,331200,335616,340032,344448,348864,353280,357696,362112,366528,370944,375360,379776,384192,388608,393024,397440,401856,406272,410688,415104,419520,423936,428352,432768,437184,441600,446016,450432,454848,459264,463680,468096,472512,476928,481344,485760,490176,494592,499008,503424,507840,512256,516672,521088,525504,529920,534336,538752,543168,547584,552000,556416,560832,565248,569664,574080,578496,582912
45,15,8,5/6,A,4480.0,8960,13440,17920,22400,26880,31360,35840,40320,44800,49280,53760,58240,62720,67200,71680,76160,80640,85120,89600,94080,98560,103040,107520,112000,116480,120960,125440,129920,134400,138880,143360,147840,152320,156800,161280,165760,170240,174720,179200,183680,188160,192640,197120,201600,206080,210560,215040,219520,224000,228480,232960,237440,241920,246400,250880,255360,259840,264320,268800,273280,277760,282240,286720,291200,295680,300160,304640,309120,313600,318080,322560,327040,331520,336000,340480,344960,349440,353920,358400,362880,367360,371840,376320,380800,385280,389760,394240,398720,403200,407680,412160,416640,421120,425600,430080,434560,439040,443520,448000,452480,456960,461440,465920,470400,474880,479360,483840,488320,492800,497280,501760,506240,510720,515200,519680,524160,528640,533120,537600,542080,546560,551040,555520,560000,564480,568960,573440,577920,582400,586880,591360
47,15,8,5/6,B,4800.0,9600,14400,19200,24000,28800,33600,38400,43200,48000,52800,57600,62400,67200,72000,76800,81600,86400,91200,96000,100800,105600,110400,115200,120000,124800,129600,134400,139200,144000,148800,153600,158400,163200,168000,172800,177600,182400,187200,192000,196800,201600,206400,211200,216000,220800,225600,230400,235200,240000,244800,249600,254400,259200,264000,268800,273600,278400,283200,288000,292800,297600,302400,307200,312000,316800,321600,326400,331200,336000,340800,345600,350400,355200,360000,364800,369600,374400,379200,384000,388800,393600,398400,403200,408000,412800,417600,422400,427200,432000,436800,441600,446400,451200,456000,460800,465600,470400,475200,480000,484800,489600,494400,499200,504000,508800,513600,518400,523200,528000,532800,537600,542400,547200,552000,556800,561600,566400,571200,576000,580800,585600,590400,595200,600000,604800,609600,614400,619200,624000,628800,633600
46,15,8,5/6,C,4906.0,9812,14718,19624,24530,29436,34342,39248,44154,49060,53966,58872,63778,68684,73590,78496,83402,88308,93214,98120,103026,107932,112838,117744,122650,127556,132462,137368,142274,147180,152086,156992,161898,166804,171710,176616,181522,186428,191334,196240,201146,206052,210958,215864,220770,225676,230582,235488,240394,245300,250206,255112,260018,264924,269830,274736,279642,284548,289454,294360,299266,304172,309078,313984,318890,323796,328702,333608,338514,343420,348326,353232,358138,363044,367950,372856,377762,382668,387574,392480,397386,402292,407198,412104,417010,421916,426822,431728,436634,441540,446446,451352,456258,461164,466070,470976,475882,480788,485694,490600,495506,500412,505318,510224,515130,520036,524942,529848,534754,539660,544566,549472,554378,559284,564190,569096,574002,578908,583814,588720,593626,598532,603438,608344,613250,618156,623062,627968,632874,637780,642686,647592
